ダウンロードした時刻：2023/05/31 13:21:40

,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2009/6/2,30.0,8,1,20.0,8,1,51,8,1
2009/6/3,26.0,8,1,19.7,8,1,60,8,1
2009/6/4,22.9,8,1,18.6,8,1,76,8,1
2009/6/5,22.7,8,1,19.4,8,1,76,8,1
2009/6/6,20.9,8,1,18.1,8,1,86,8,1
2009/6/7,23.2,8,1,18.4,8,1,80,8,1
2009/6/8,24.7,8,1,19.1,8,1,72,8,1
2009/6/9,25.4,8,1,19.1,8,1,71,8,1
2009/6/10,27.2,8,1,20.3,8,1,75,8,1
2009/6/11,23.0,8,1,19.4,8,1,77,8,1
2009/6/12,26.3,8,1,20.8,8,1,53,8,1
2009/6/13,20.8,8,1,18.2,8,1,77,8,1
2009/6/14,24.5,8,1,18.3,8,1,72,8,1
2009/6/15,24.8,8,1,18.2,8,1,67,8,1
2009/6/16,26.7,8,1,18.3,8,1,69,8,1
2009/6/17,23.3,8,1,18.1,8,1,78,8,1
2009/6/18,19.1,8,1,16.7,8,1,87,8,1
2009/6/19,27.0,8,1,20.1,8,1,72,8,1
2009/6/20,25.8,8,1,20.3,8,1,74,8,1
2009/6/21,26.7,8,1,21.0,8,1,81,8,1
2009/6/22,25.0,8,1,21.4,8,1,85,8,1
2009/6/23,28.3,8,1,23.6,8,1,66,8,1
2009/6/24,26.2,8,1,20.4,8,1,69,8,1
2009/6/25,31.2,8,1,23.6,8,1,52,8,1
2009/6/26,33.2,8,1,25.5,8,1,49,8,1
2009/6/27,33.8,8,1,25.5,8,1,52,8,1
2009/6/28,31.7,8,1,25.0,8,1,59,8,1
2009/6/29,31.5,8,1,24.7,8,1,59,8,1
2009/6/30,26.4,8,1,22.6,8,1,79,8,1
2009/7/1,20.8,8,1,19.5,8,1,89,8,1
2009/7/2,23.5,8,1,20.0,8,1,85,8,1
2009/7/3,28.4,8,1,21.8,8,1,76,8,1
2009/7/4,25.5,8,1,21.3,8,1,82,8,1
2009/7/5,29.1,8,1,23.4,8,1,74,8,1
2009/7/6,31.4,8,1,24.5,8,1,70,8,1
2009/7/7,32.1,8,1,26.0,8,1,73,8,1
2009/7/8,28.9,8,1,24.4,8,1,78,8,1
2009/7/9,24.1,8,1,21.3,8,1,93,8,1
2009/7/10,26.6,8,1,22.5,8,1,73,8,1
2009/7/11,29.1,8,1,21.9,8,1,68,8,1
2009/7/12,27.9,8,1,22.0,8,1,76,8,1
2009/7/13,27.0,8,1,21.7,8,1,79,8,1
2009/7/14,25.6,8,1,21.0,8,1,78,8,1
2009/7/15,35.5,8,1,26.7,8,1,64,8,1
2009/7/16,29.4,8,1,25.6,8,1,58,8,1
2009/7/17,33.2,8,1,25.8,8,1,69,8,1
2009/7/18,26.5,8,1,23.4,8,1,87,8,1
2009/7/19,28.3,8,1,25.1,8,1,74,8,1
2009/7/20,28.2,8,1,22.9,8,1,72,8,1
2009/7/21,22.6,8,1,20.2,8,1,88,8,1
2009/7/22,28.6,8,1,22.6,8,1,83,8,1
2009/7/23,30.0,8,1,23.9,8,1,77,8,1
2009/7/24,28.6,8,1,24.8,8,1,79,8,1
2009/7/25,33.1,8,1,26.4,8,1,81,8,1
2009/7/26,32.5,8,1,25.3,8,1,83,8,1
2009/7/27,30.3,8,1,24.0,8,1,83,8,1
2009/7/28,29.7,8,1,24.8,8,1,80,8,1
2009/7/29,26.0,8,1,23.2,8,1,86,8,1
2009/7/30,28.5,8,1,23.8,8,1,82,8,1
2009/7/31,26.8,8,1,23.0,8,1,77,8,1
2009/8/1,28.4,8,1,23.2,8,1,78,8,1
2009/8/2,29.0,8,1,24.1,8,1,81,8,1
2009/8/3,29.5,8,1,25.1,8,1,78,8,1
2009/8/4,30.3,8,1,25.4,8,1,76,8,1
2009/8/5,30.7,8,1,26.2,8,1,77,8,1
2009/8/6,31.3,8,1,26.4,8,1,77,8,1
2009/8/7,25.8,8,1,24.2,8,1,89,8,1
2009/8/8,27.6,8,1,24.3,8,1,84,8,1
2009/8/9,26.5,8,1,24.2,8,1,87,8,1
2009/8/10,24.7,8,1,22.4,8,1,92,8,1
2009/8/11,29.0,8,1,24.2,8,1,82,8,1
2009/8/12,31.1,8,1,25.7,8,1,76,8,1
2009/8/13,31.4,8,1,25.5,8,1,77,8,1
2009/8/14,29.5,8,1,23.9,8,1,73,8,1
2009/8/15,31.1,8,1,24.1,8,1,72,8,1
2009/8/16,33.4,8,1,25.9,8,1,69,8,1
2009/8/17,30.7,8,1,25.2,8,1,70,8,1
2009/8/18,29.9,8,1,24.3,8,1,72,8,1
2009/8/19,29.3,8,1,24.1,8,1,73,8,1
2009/8/20,30.9,8,1,25.2,8,1,74,8,1
2009/8/21,29.2,8,1,25.3,8,1,74,8,1
2009/8/22,27.9,8,1,23.9,8,1,61,8,1
2009/8/23,31.1,8,1,23.7,8,1,61,8,1
2009/8/24,25.8,8,1,21.2,8,1,64,8,1
2009/8/25,26.3,8,1,20.2,8,1,66,8,1
2009/8/26,27.2,8,1,20.5,8,1,70,8,1
2009/8/27,29.8,8,1,23.0,8,1,67,8,1
2009/8/28,25.9,8,1,22.8,8,1,82,8,1
2009/8/29,28.9,8,1,23.5,8,1,73,8,1
2009/8/30,22.4,8,1,18.9,8,1,80,8,1
2009/8/31,17.8,8,1,16.4,8,1,93,8,1
2009/9/1,27.4,8,1,20.3,8,1,83,8,1
2009/9/2,24.3,8,1,20.4,8,1,74,8,1
2009/9/3,22.2,8,1,19.4,8,1,73,8,1
2009/9/4,23.1,8,1,19.4,8,1,83,8,1
2009/9/5,29.3,8,1,22.1,8,1,75,8,1
2009/9/6,27.8,8,1,21.7,8,1,71,8,1
2009/9/7,29.9,8,1,22.3,8,1,71,8,1
2009/9/8,24.8,8,1,21.2,8,1,74,8,1
2009/9/9,24.3,8,1,18.7,8,1,62,8,1
2009/9/10,24.2,8,1,19.3,8,1,65,8,1
2009/9/11,25.9,8,1,19.6,8,1,63,8,1
2009/9/12,18.8,8,1,16.4,8,1,85,8,1
2009/9/13,24.3,8,1,19.7,8,1,71,8,1
2009/9/14,25.5,8,1,19.3,8,1,68,8,1
2009/9/15,20.9,8,1,17.7,8,1,84,8,1
2009/9/16,23.9,8,1,18.5,8,1,73,8,1
2009/9/17,24.4,8,1,17.2,8,1,68,8,1
2009/9/18,24.6,8,1,18.2,8,1,71,8,1
2009/9/19,23.1,8,1,18.3,8,1,71,8,1
2009/9/20,24.2,8,1,17.5,8,1,66,8,1
2009/9/21,25.6,8,1,17.5,8,1,69,8,1
2009/9/22,23.1,8,1,18.4,8,1,80,8,1
2009/9/23,19.8,8,1,18.1,8,1,91,8,1
2009/9/24,25.9,8,1,20.1,8,1,75,8,1
2009/9/25,27.2,8,1,20.5,8,1,76,8,1
2009/9/26,25.8,8,1,19.9,8,1,67,8,1
2009/9/27,23.2,8,1,16.7,8,1,72,8,1
2009/9/28,20.3,8,1,17.7,8,1,79,8,1
2009/9/29,21.9,8,1,18.4,8,1,83,8,1
2009/9/30,21.0,8,1,16.2,8,1,76,8,1
2010/5/1,16.3,8,1,11.7,8,1,46,8,1
2010/5/2,20.5,8,1,12.8,8,1,49,8,1
2010/5/3,26.3,8,1,17.4,8,1,45,8,1
2010/5/4,24.1,8,1,19.2,8,1,58,8,1
2010/5/5,28.3,8,1,20.0,8,1,60,8,1
2010/5/6,29.7,8,1,21.1,8,1,58,8,1
2010/5/7,18.9,8,1,16.2,8,1,74,8,1
2010/5/8,21.8,8,1,16.6,8,1,41,8,1
2010/5/9,19.8,8,1,14.7,8,1,44,8,1
2010/5/10,22.9,8,1,13.9,8,1,59,8,1
2010/5/11,19.0,8,1,14.5,8,1,75,8,1
2010/5/12,14.3,8,1,11.9,8,1,71,8,1
2010/5/13,13.5,8,1,9.6,8,1,63,8,1
2010/5/14,12.8,8,1,9.2,8,1,68,8,1
2010/5/15,16.0,8,1,10.7,8,1,63,8,1
2010/5/16,23.1,8,1,14.3,8,1,59,8,1
2010/5/17,27.0,8,1,17.0,8,1,56,8,1
2010/5/18,28.4,8,1,19.6,8,1,51,8,1
2010/5/19,25.4,8,1,18.8,8,1,71,8,1
2010/5/20,23.4,8,1,18.5,8,1,87,8,1
2010/5/21,27.4,8,1,20.2,8,1,62,8,1
2010/5/22,27.3,8,1,18.9,8,1,62,8,1
2010/5/23,20.4,8,1,16.2,8,1,72,8,1
2010/5/24,17.7,8,1,15.3,8,1,90,8,1
2010/5/25,24.2,8,1,18.4,8,1,78,8,1
2010/5/26,16.0,8,1,14.7,8,1,91,8,1
2010/5/27,14.6,8,1,12.9,8,1,79,8,1
2010/5/28,15.2,8,1,12.3,8,1,70,8,1
2010/5/29,15.8,8,1,11.9,8,1,73,8,1
2010/5/30,20.3,8,1,14.5,8,1,62,8,1
2010/5/31,22.4,8,1,15.5,8,1,60,8,1
2010/6/1,25.7,8,1,17.1,8,1,55,8,1
2010/6/2,27.2,8,1,18.6,8,1,53,8,1
2010/6/3,27.8,8,1,18.8,8,1,55,8,1
2010/6/4,23.5,8,1,17.3,8,1,63,8,1
2010/6/5,21.1,8,1,15.6,8,1,79,8,1
2010/6/6,26.0,8,1,18.5,8,1,62,8,1
2010/6/7,29.5,8,1,20.9,8,1,57,8,1
2010/6/8,26.1,8,1,20.2,8,1,65,8,1
2010/6/9,29.4,8,1,21.6,8,1,64,8,1
2010/6/10,27.6,8,1,21.6,8,1,65,8,1
2010/6/11,28.8,8,1,21.8,8,1,65,8,1
2010/6/12,31.4,8,1,23.2,8,1,57,8,1
2010/6/13,32.2,8,1,24.4,8,1,57,8,1
2010/6/14,23.2,8,1,20.4,8,1,70,8,1
2010/6/15,29.6,8,1,23.1,8,1,66,8,1
2010/6/16,26.7,8,1,21.2,8,1,78,8,1
2010/6/17,30.8,8,1,23.8,8,1,65,8,1
2010/6/18,27.3,8,1,23.6,8,1,70,8,1
2010/6/19,26.4,8,1,23.1,8,1,77,8,1
2010/6/20,29.1,8,1,23.8,8,1,76,8,1
2010/6/21,28.3,8,1,23.4,8,1,75,8,1
2010/6/22,28.9,8,1,23.8,8,1,75,8,1
2010/6/23,22.9,8,1,21.3,8,1,80,8,1
2010/6/24,26.4,8,1,21.8,8,1,55,8,1
2010/6/25,31.4,8,1,23.4,8,1,58,8,1
2010/6/26,31.5,8,1,25.0,8,1,64,8,1
2010/6/27,24.9,8,1,23.1,8,1,89,8,1
2010/6/28,28.9,8,1,24.6,8,1,83,8,1
2010/6/29,28.9,8,1,24.5,8,1,80,8,1
2010/6/30,22.4,8,1,21.4,8,1,92,8,1
2010/7/1,30.3,8,1,24.9,8,1,76,8,1
2010/7/2,30.1,8,1,24.2,8,1,79,8,1
2010/7/3,30.4,8,1,24.5,8,1,77,8,1
2010/7/4,31.2,8,1,24.8,8,1,78,8,1
2010/7/5,29.9,8,1,25.1,8,1,75,8,1
2010/7/6,32.7,8,1,25.8,8,1,72,8,1
2010/7/7,32.3,8,1,26.0,8,1,72,8,1
2010/7/8,30.9,8,1,25.8,8,1,68,8,1
2010/7/9,30.3,8,1,24.2,8,1,78,8,1
2010/7/10,28.9,8,1,23.7,8,1,71,8,1
2010/7/11,25.8,8,1,21.9,8,1,82,8,1
2010/7/12,28.7,8,1,23.4,8,1,74,8,1
2010/7/13,22.5,8,1,20.2,8,1,80,8,1
2010/7/14,27.3,8,1,22.1,8,1,83,8,1
2010/7/15,30.7,8,1,24.1,8,1,84,8,1
2010/7/16,29.7,8,1,25.1,8,1,79,8,1
2010/7/17,33.2,8,1,24.4,8,1,81,8,1
2010/7/18,33.6,8,1,26.0,8,1,72,8,1
2010/7/19,32.8,8,1,27.1,8,1,68,8,1
2010/7/20,34.2,8,1,27.2,8,1,67,8,1
2010/7/21,33.5,8,1,27.6,8,1,67,8,1
2010/7/22,34.7,8,1,28.2,8,1,66,8,1
2010/7/23,34.3,8,1,27.9,8,1,66,8,1
2010/7/24,34.6,8,1,28.8,8,1,62,8,1
2010/7/25,31.0,8,1,26.3,8,1,74,8,1
2010/7/26,33.1,8,1,26.3,8,1,69,8,1
2010/7/27,34.5,8,1,28.6,8,1,57,8,1
2010/7/28,35.1,8,1,27.7,8,1,64,8,1
2010/7/29,30.5,8,1,25.1,8,1,81,8,1
2010/7/30,30.0,8,1,26.0,8,1,78,8,1
2010/7/31,32.9,8,1,28.2,8,1,67,8,1
